 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,5424565,6,4,611,153,517,0,101.8333333,204.3050823,141,0,38.25,68.55836929,140.8407863,1.843465789,602729.4444,1752665.835,5276018,4,5424565,1084913.0,2384481.521,5350307,48,116149,38716.33333,37497.63172,74868,4,0,0,0,0,132,92,1.106079474,0.737386316,0,517,69.45454545,154.2117788,23781.27273,0,0,0,1,0,0,0,0,0,76.4,101.8333333,38.25,132,0,0,0,0,0,0,6,611,4,153,8192,55,5,20,148499.0,0.0,148499,148499,5276018.0,0.0,5276018,5276018,BENIGN
53,23590,1,1,44,131,44,44,44.0,0.0,131,131,131.0,0.0,7418.397626,84.78168716,23590.0,0.0,23590,23590,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,40,42.39084358,42.39084358,44,131,73.0,50.22947342,2523.0,0,0,0,0,0,0,0,0,1,109.5,44.0,131.0,32,0,0,0,0,0,0,1,44,1,131,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30833,2,2,70,102,35,35,35.0,0.0,51,51,51.0,0.0,5578.438686,129.7311322,10277.66667,17633.67716,30639,4,4,4.0,0.0,4,4,190,190.0,0.0,190,190,0,0,0,0,40,40,64.86556611,64.86556611,35,51,41.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,51.75,35.0,51.0,40,0,0,0,0,0,0,2,70,2,102,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,365304,10,7,582,5792,192,0,58.2,73.52822587,2555,0,827.4285714,1005.163313,17448.48126,46.53658323,22831.5,58332.07861,235793,4,365304,40589.33333,74842.19231,235793,4,302863,50477.16667,106996.6724,267430,50,0,0,0,0,212,152,27.37446072,19.16212251,0,2555,354.1111111,714.555056,510588.9281,0,0,0,1,0,0,0,0,0,374.9411765,58.2,827.4285714,212,0,0,0,0,0,0,10,582,7,5792,8192,119,9,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5369351,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.744968992,1789783.667,3068360.829,5332759,61,5369351,2684675.5,3744955.6,5332759,36592,0,0.0,0.0,0,0,0,0,0,0,104,40,0.558726744,0.186242248,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,42408,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30910,2,2,168,332,84,84,84.0,0.0,166,166,166.0,0.0,16175.99482,129.4079586,10303.33333,17800.87836,30858,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,40,40,64.70397929,64.70397929,84,166,116.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,146.0,84.0,166.0,40,0,0,0,0,0,0,2,168,2,332,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,87115,2,2,56,158,28,28,28.0,0.0,79,79,79.0,0.0,2456.522987,45.91631751,29038.33333,50250.84064,87063,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,64,40,22.95815876,22.95815876,28,79,48.4,27.93385043,780.3,0,0,0,0,0,0,0,0,1,60.5,28.0,79.0,64,0,0,0,0,0,0,2,56,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,135,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,1185185.185,29629.62963,45.0,72.74613392,129,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,14814.81481,14814.81481,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
55950,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,357,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,118729992,18,26,2038,5455,545,0,113.2222222,166.4648189,1418,0,209.8076923,402.7482608,63.1095806,0.370588756,2761162.605,12500000.0,58900000,1,119000000,6984117.176,19500000.0,58900000,137,119000000,4747397.56,16200000.0,59000000,1,0,0,0,0,584,840,0.151604491,0.218984265,0,1418,166.5111111,325.2206679,105768.4828,0,0,0,1,0,0,0,0,1,170.2954545,113.2222222,209.8076923,584,0,0,0,0,0,0,18,2038,26,5455,29200,374,12,32,701719.0,880569.9741,1324376,79062,58600000.0,406535.4875,58900000,58400000,BENIGN
53,272442,1,1,50,177,50,50,50.0,0.0,177,177,177.0,0.0,833.2048656,7.341012032,272442.0,0.0,272442,272442,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,3.670506016,3.670506016,50,177,92.33333333,73.32348419,5376.333333,0,0,0,0,0,0,0,0,1,138.5,50.0,177.0,20,0,0,0,0,0,0,1,50,1,177,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,47655,4,2,168,198,42,42,42.0,0.0,99,99,99.0,0.0,7680.201448,125.9049418,9531.0,13901.93539,30668,3,30719,10239.66667,17691.46993,30668,3,3,3.0,0.0,3,3,0,0,0,0,128,64,83.93662785,41.96831392,42,99,58.28571429,27.81315208,773.5714286,0,0,0,0,0,0,0,0,0,68.0,42.0,99.0,128,0,0,0,0,0,0,4,168,2,198,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,36947,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,54.1315939,36947.0,0.0,36947,36947,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,27.06579695,27.06579695,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,256,939,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53290,43,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,279069.7674,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,23255.81395,23255.81395,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,4169,252,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,64489,1,1,47,63,47,47,47.0,0.0,63,63,63.0,0.0,1705.717254,31.01304098,64489.0,0.0,64489,64489,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,15.50652049,15.50652049,47,63,52.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,78.5,47.0,63.0,32,0,0,0,0,0,0,1,47,1,63,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,54563,4,2,148,202,37,37,37.0,0.0,101,101,101.0,0.0,6414.603303,109.964628,10912.6,15525.05373,33283,3,33296,11098.66667,19212.19655,33283,3,12,12.0,0.0,12,12,0,0,0,0,80,40,73.30975203,36.65487601,37,101,55.28571429,31.22880233,975.2380952,0,0,0,0,0,0,0,0,0,64.5,37.0,101.0,80,0,0,0,0,0,0,4,148,2,202,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5138931,7,10,811,4387,442,0,115.8571429,167.3384082,1460,0,438.7,584.9087393,1011.494414,3.308081,321183.1875,1247557.787,4999133,34,139614,23269.0,23486.92584,46617,260,5097434,566381.5556,1662399.919,4999167,48,0,0,0,0,152,212,1.362151,1.94593,0,1460,288.7777778,470.578312,221443.9477,0,0,0,1,0,0,0,0,1,305.7647059,115.8571429,438.7,152,0,0,0,0,0,0,7,811,10,4387,8192,62,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48103,1,1,46,111,46,46,46.0,0.0,111,111,111.0,0.0,3263.829699,41.57744839,48103.0,0.0,48103,48103,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20.7887242,20.7887242,46,111,67.66666667,37.5277675,1408.333333,0,0,0,0,0,0,0,0,1,101.5,46.0,111.0,20,0,0,0,0,0,0,1,46,1,111,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,33877905,58,104,7882,117268,582,0,135.8965517,243.5813701,3547,0,1127.576923,881.0259431,3694.148148,4.781877746,210421.7702,1349662.942,10100000,2,24100000,422032.9649,1880173.178,10200000,48,33700000,327448.7573,1697923.371,10300000,2,0,0,0,0,1864,3344,1.712030304,3.069847442,0,3547,767.791411,862.6042285,744086.055,0,0,0,1,0,0,0,0,1,772.5308642,135.8965517,1127.576923,1864,0,0,0,0,0,0,58,7882,104,117268,29200,672,15,32,1929369.0,2515286.301,3707945,150793,10100000.0,13267.44454,10100000,10100000,BENIGN
53,213,2,2,84,228,42,42,42.0,0.0,114,114,114.0,0.0,1464788.732,18779.34272,71.0,39.83716857,117,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,40,9389.671362,9389.671362,42,114,70.8,39.43602414,1555.2,0,0,0,0,0,0,0,0,1,88.5,42.0,114.0,40,0,0,0,0,0,0,2,84,2,228,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,225,2,2,88,250,44,44,44.0,0.0,125,125,125.0,0.0,1502222.222,17777.77778,75.0,126.4436633,221,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,8888.888889,8888.888889,44,125,76.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,95.5,44.0,125.0,64,0,0,0,0,0,0,2,88,2,250,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,24165,2,2,92,300,46,46,46.0,0.0,150,150,150.0,0.0,16221.8084,165.5286571,8055.0,13944.74109,24157,3,5,5.0,0.0,5,5,3,3.0,0.0,3,3,0,0,0,0,64,64,82.76432857,82.76432857,46,150,87.6,56.96314598,3244.8,0,0,0,0,0,0,0,0,1,109.5,46.0,150.0,64,0,0,0,0,0,0,2,92,2,300,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,119893,2,2,68,254,34,34,34.0,0.0,127,127,127.0,0.0,2685.728108,33.36308208,39964.33333,69216.79175,119889,0,0,0.0,0.0,0,0,4,4.0,0.0,4,4,0,0,0,0,64,40,16.68154104,16.68154104,34,127,71.2,50.93819785,2594.7,0,0,0,0,0,0,0,0,1,89.0,34.0,127.0,64,0,0,0,0,0,0,2,68,2,254,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
42628,86756986,7,7,11595,377,5792,0,1656.428571,2429.118623,359,0,53.85714286,134.5887917,137.9946509,0.16137029,6673614.308,23800000.0,85800000,26,86800000,14500000.0,35400000.0,86800000,26,86800000,14500000.0,34900000.0,85800000,828,0,0,0,0,232,204,0.080685145,0.080685145,0,5792,798.1333333,1796.49917,3227409.267,0,0,0,0,1,0,0,0,1,855.1428571,1656.428571,53.85714286,232,0,0,0,0,0,0,7,11595,7,377,235,229,3,32,2913.0,0.0,2913,2913,85800000.0,0.0,85800000,85800000,BENIGN
53,168,2,2,86,204,43,43,43.0,0.0,102,102,102.0,0.0,1726190.476,23809.52381,56.0,91.7986928,162,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,11904.7619,11904.7619,43,102,66.6,32.31563089,1044.3,0,0,0,0,0,0,0,0,1,83.25,43.0,102.0,64,0,0,0,0,0,0,2,86,2,204,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
47948,48,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,645833.3333,62500.0,24.0,31.11269837,46,2,48,24.0,31.11269837,46,2,0,0.0,0.0,0,0,0,0,0,0,96,0,62500.0,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0.0,96,0,0,0,0,0,0,3,31,0,0,939,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,47488,2,2,78,438,39,39,39.0,0.0,219,219,219.0,0.0,10865.90296,84.23180593,15829.33333,27410.28138,47480,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,42.11590296,42.11590296,39,219,111.0,98.59006035,9720.0,0,0,0,0,0,0,0,0,1,138.75,39.0,219.0,64,0,0,0,0,0,0,2,78,2,438,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,163,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,1006134.969,24539.8773,54.33333333,53.20087719,110,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,64,64,12269.93865,12269.93865,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,64,0,0,0,0,0,0,2,66,2,98,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,88,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,136363.6364,22727.27273,88.0,0.0,88,88,88,88.0,0.0,88,88,0,0.0,0.0,0,0,0,0,0,0,40,0,22727.27273,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,16288,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,49364,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40.51535532,49364.0,0.0,49364,49364,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,20.25767766,20.25767766,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,238,939,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,717550,9,11,416,16714,374,0,46.22222222,122.9326826,2920,2,1519.454545,942.4177804,23872.90084,27.87262212,37765.78947,89106.01483,242477,5,482307,60288.375,111244.1814,242539,50,475073,47507.3,99283.58852,236497,47,0,0,0,0,200,224,12.54267995,15.32994216,0,2920,815.7142857,1011.054358,1022230.914,0,0,0,1,0,0,0,0,1,856.5,46.22222222,1519.454545,200,0,0,0,0,0,0,9,416,11,16714,29200,35314,8,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,183103,7,5,376,3508,201,0,53.71428571,78.68653906,1460,0,701.6,731.5646246,21212.10466,65.53688361,16645.72727,33985.87989,85412,47,183103,30517.16667,45235.53586,92427,144,92887,23221.75,41911.4411,85919,48,0,0,0,0,152,112,38.22984877,27.30703484,0,1460,298.7692308,539.9757948,291573.859,0,0,0,1,0,0,0,0,0,323.6666667,53.71428571,701.6,152,0,0,0,0,0,0,7,376,5,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31221,1,1,79,161,79,79,79.0,0.0,161,161,161.0,0.0,7687.13366,64.05944717,31221.0,0.0,31221,31221,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.02972358,32.02972358,79,161,106.3333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,159.5,79.0,161.0,32,0,0,0,0,0,0,1,79,1,161,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
38542,188034,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15.95456141,94017.0,132883.749,187980,54,188034,188034.0,0.0,188034,188034,0,0.0,0.0,0,0,0,0,0,0,64,32,10.63637427,5.318187136,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,241,846,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,62986,4,4,144,1342,38,34,36.0,2.309401077,345,326,335.5,10.96965511,23592.54437,127.012352,8998.0,23381.10526,62018,3,62745,20915.0,36220.64649,62739,3,965,321.6666667,551.9468573,959,3,0,0,0,0,104,128,63.50617598,63.50617598,34,345,168.8888889,158.2114443,25030.86111,0,0,0,0,0,0,0,0,1,190.0,36.0,335.5,104,0,0,0,0,0,0,4,144,4,1342,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
